id,first_name,last_name,detentions,missed
1,Annie,Berry,2,15
2,Julia,Smith,0,23
3,Elizabeth,Coleman,3,10
4,Lillian,Wells,0,8
5,Kimberly,Green,15,28
6,Melissa,Smith,11,7
7,Julia,Garza,9,10
8,Nicholas,White,17,12
9,Billy,Mitchell,10,5
10,Kathryn,Mendoza,11,21
11,Patrick,Dunn,3,15
12,Martha,Green,2,23
13,Marie,Crawford,15,25
14,David,Kelly,16,13
15,Brenda,Ramirez,5,15
16,Nancy,Duncan,28,22
17,Timothy,Gomez,15,20
18,Heather,Webb,19,17
19,John,Fisher,7,18
20,Amanda,Hawkins,8,8
21,Virginia,Adams,6,7
22,Jose,Vasquez,21,4
23,John,Anderson,21,9
24,Julia,Greene,7,14
25,Michael,Murphy,13,6
26,Robert,Wright,20,27
27,Amy,Lawson,3,22
28,Martha,Cunningham,1,25
29,Matthew,Nelson,26,17
30,Jason,Watkins,21,15
31,Ashley,Wheeler,1,8
32,Donna,Lee,5,3
33,Lori,Walker,19,17
34,Joshua,Anderson,12,0
35,Lori,Ferguson,10,19
36,Jonathan,Carr,15,5
37,Alice,Mitchell,22,11
38,Aaron,Watkins,22,28
39,Russell,Perkins,14,18
40,Raymond,Burns,2,11
41,Amanda,Ford,25,27
42,Lillian,Graham,28,6
43,Anthony,Reid,25,6
44,Adam,Young,11,2
45,Keith,Simmons,20,23
46,Jane,Parker,11,15
47,Teresa,Stephens,15,15
48,Timothy,Stone,20,10
49,Kevin,Fernandez,9,21
50,Randy,Hudson,22,6
51,Ashley,Gordon,12,4
52,Marie,Gomez,7,27
53,Brian,Fernandez,18,4
54,Steven,Nguyen,7,10
55,Peter,Harvey,15,14
56,Donald,Morgan,4,4
57,Shirley,Harper,27,14
58,Lisa,Reed,10,17
59,Carlos,Robinson,0,4
60,Jeremy,Elliott,6,25
61,Sara,Miller,25,13
62,Betty,Bishop,2,8
63,Philip,Romero,18,20
64,Marie,Hawkins,21,28
65,Angela,Andrews,4,5
66,Sandra,Nguyen,13,23
67,Craig,Howell,2,10
68,Alice,Young,2,26
69,Andrew,Reynolds,10,24
70,Billy,Mcdonald,13,11
71,Alice,Russell,9,19
72,David,Carter,2,13
73,Frank,Hudson,21,24
74,Kathryn,Murray,11,4
75,Nicholas,Stewart,9,22
76,Rebecca,Carroll,18,1
77,Christopher,Nguyen,27,19
78,Benjamin,Ramos,10,6
79,Stephanie,Johnston,17,19
80,Peter,Fuller,6,27
81,Deborah,Gonzalez,16,23
82,Diane,Williams,26,2
83,Gerald,Flores,22,24
84,Betty,Ford,3,0
85,Brandon,Dixon,19,21
86,Helen,Marshall,15,2
87,Billy,Fisher,6,14
88,Frank,Simpson,18,7
89,Dennis,Hanson,22,19
90,Peter,Wilson,3,2
91,Christine,Kelly,14,4
92,Jeremy,Johnson,24,25
93,Denise,Oliver,4,27
94,Arthur,Dixon,25,26
95,Alan,Carter,19,9
96,Mary,Parker,0,28
97,Mary,Cole,10,7
98,Benjamin,Frazier,0,6
99,Alan,Gutierrez,26,0
100,Alan,Peters,20,2
101,Walter,Perez,5,0
102,Wanda,Martinez,2,13
103,Brenda,Dean,28,2
104,Keith,Lynch,10,6
105,Ernest,Torres,18,16
106,Donald,Washington,25,1
107,Nancy,Martinez,20,26
108,Paula,Gibson,17,3
109,Theresa,Davis,17,10
110,Judith,Woods,19,16
111,Karen,Castillo,26,15
112,Andrea,Foster,19,15
113,Jessica,Meyer,17,9
114,Pamela,King,11,0
115,Tammy,Bennett,0,26
116,Jean,Smith,12,6
117,Richard,Roberts,2,22
118,Victor,Nichols,17,14
119,Linda,Butler,9,18
120,Juan,Ramos,6,12
121,Ruby,Banks,26,28
122,Evelyn,Webb,8,4
123,Cynthia,Mccoy,25,5
124,Marilyn,Nichols,13,19
125,Norma,Mills,7,14
126,Willie,Robinson,5,19
127,Tammy,Martin,3,7
128,Sean,Price,5,3
129,Walter,Jackson,9,5
130,Amy,Medina,13,24
131,Barbara,Gonzalez,2,24
132,Andrew,Baker,23,20
133,Lori,Morris,15,3
134,Jennifer,Alvarez,4,21
135,James,Burke,13,20
136,Karen,Porter,20,5
137,Rose,Cox,26,4
138,Tina,Young,10,11
139,Katherine,Mcdonald,13,26
140,Paul,Jacobs,5,19
141,Daniel,Sullivan,12,13
142,Sarah,Kennedy,26,1
143,Cheryl,Armstrong,12,3
144,Kevin,Larson,16,12
145,Beverly,Austin,26,6
146,Cheryl,King,18,26
147,Kathryn,Rodriguez,9,23
148,Michelle,Larson,26,27
